"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2020","381.960","380.225","382.645","375.325","","0.66%"
"01/01/2020","379.460","382.025","382.025","375.625","","-0.89%"
"12/01/2019","382.860","386.575","388.095","378.110","","-0.94%"
"11/01/2019","386.510","389.075","390.425","384.425","","-0.62%"
"10/01/2019","388.910","387.925","390.775","387.235","","0.23%"
"09/01/2019","388.010","387.875","389.145","384.585","","0.22%"
"08/01/2019","387.160","384.425","388.870","384.310","","0.97%"
"07/01/2019","383.430","380.600","386.490","380.120","","0.75%"
"06/01/2019","380.560","382.720","385.130","376.270","","-0.52%"
"05/01/2019","382.560","380.900","382.830","377.270","","0.46%"
"04/01/2019","380.810","380.880","382.230","376.480","","0.35%"
"03/01/2019","379.470","375.180","381.980","374.580","","1.40%"
"02/01/2019","374.220","380.180","383.680","372.780","","-1.54%"
"01/01/2019","380.070","383.330","383.330","372.180","","-1.04%"
"12/01/2018","384.070","373.380","384.830","369.080","","2.89%"
"11/01/2018","373.270","370.180","376.680","363.880","","0.86%"
"10/01/2018","370.070","363.180","374.910","357.675","","1.93%"
"09/01/2018","363.070","363.130","381.620","349.110","","-0.14%"
"08/01/2018","363.570","347.405","364.245","347.405","","4.67%"
"07/01/2018","347.360","341.360","347.580","341.010","","1.77%"
"06/01/2018","341.310","330.095","341.855","329.705","","3.61%"
"05/01/2018","329.410","327.675","331.490","325.095","","0.60%"
"04/01/2018","327.460","318.875","332.105","318.565","","2.63%"
"03/01/2018","319.060","320.600","323.095","318.040","","-0.42%"
"02/01/2018","320.410","323.000","329.100","318.400","","-0.84%"
"01/01/2018","323.110","332.650","333.720","319.355","","-2.91%"
"12/01/2017","332.800","331.275","335.970","330.775","","0.47%"
"11/01/2017","331.250","334.955","335.455","329.100","","-1.10%"
"10/01/2017","334.920","340.125","345.745","331.940","","-1.58%"
"09/01/2017","340.280","337.955","342.195","332.685","","0.68%"
"08/01/2017","337.990","329.485","338.630","328.080","","2.60%"
"07/01/2017","329.430","319.250","330.150","319.105","","2.31%"
